date,repo,clones_14d,unique_cloners_14d,views_14d,unique_viewers_14d,stars,forks
2026-05-02,docs,7783,1152,828,11,3,0
2026-05-02,.github,291,141,55,3,0,0
2026-05-02,cycles-protocol,2727,446,137,6,3,2
2026-05-02,cycles-openclaw-budget-guard,464,165,64,6,6,0
2026-05-02,cycles-openai-agents,118,60,20,3,0,0
2026-05-02,cycles-dashboard,8719,1309,566,4,0,2
2026-05-02,cycles-server-events,995,292,179,3,1,2
2026-05-02,cycles-server-admin,6326,776,393,7,1,2
2026-05-02,cycles-mcp-server,832,268,108,2,0,1
2026-05-02,cycles-spring-boot-starter,425,184,71,4,1,1
2026-05-02,cycles-client-rust,452,168,59,4,1,0
2026-05-02,cycles-client-typescript,913,288,108,2,0,1
2026-05-02,cycles-client-python,340,139,48,11,0,1
2026-05-02,cycles-server,3679,544,217,5,2,2
2026-05-02,cycles-agent-action-authority-demo,324,106,21,1,0,0
2026-05-02,cycles-runaway-demo,690,203,44,3,2,0
2026-05-03,docs,8645,1247,968,12,3,0
2026-05-03,cycles-dashboard,8281,1198,436,4,0,2
2026-05-03,cycles-mcp-server,922,285,109,2,0,1
2026-05-03,cycles-runaway-demo,686,201,44,3,2,0
2026-05-03,cycles-client-typescript,975,299,108,2,0,1
2026-05-03,cycles-server-events,942,273,161,3,1,2
2026-05-03,cycles-server-admin,6149,750,293,7,1,2
2026-05-03,.github,530,219,126,5,0,0
2026-05-03,cycles-protocol,2650,426,115,6,3,2
2026-05-03,cycles-server,4851,646,328,5,2,2
2026-05-03,cycles-spring-boot-starter,486,201,74,6,1,1
2026-05-03,cycles-client-rust,528,188,59,4,1,0
2026-05-03,cycles-client-python,421,154,50,11,0,1
2026-05-03,cycles-openclaw-budget-guard,577,206,64,6,6,0
2026-05-03,cycles-openai-agents,180,76,20,3,0,0
2026-05-03,cycles-agent-action-authority-demo,320,104,21,1,0,0
2026-05-10,docs,12140,1440,1311,8,3,1
2026-05-10,cycles-dashboard,6512,776,120,7,0,2
2026-05-10,cycles-mcp-server,1074,261,128,2,0,1
2026-05-10,cycles-runaway-demo,403,122,38,6,2,0
2026-05-10,cycles-client-typescript,958,250,86,2,0,1
2026-05-10,cycles-server-events,896,231,153,6,1,2
2026-05-10,.github,700,249,148,5,0,0
2026-05-10,cycles-protocol,2610,237,48,5,3,2
2026-05-10,cycles-spring-boot-starter,479,153,123,6,1,1
2026-05-10,cycles-server,4770,525,230,5,2,2
2026-05-10,cycles-client-rust,543,171,111,3,1,0
2026-05-10,cycles-openai-agents,327,104,36,2,0,0
2026-05-10,cycles-openclaw-budget-guard,612,175,46,7,6,0
2026-05-10,cycles-client-python,492,148,105,12,0,1
2026-05-10,cycles-server-admin,5510,499,90,6,1,2
2026-05-10,cycles-agent-action-authority-demo,163,52,27,3,0,0
2026-05-17,langchain-runcycles,1191,307,364,21,0,0
2026-05-17,cycles-docs,7595,1169,1196,12,3,1
